participant,Group,Epoch,OA_Total_mean_raw,OA_Total_RMSE_raw,OA_Total_slope,OA_Total_r,OA_Total_P_0_1Hz,OA_Total_P_1_3Hz,OA_Total_P_3_7Hz,OA_Total_P_7_12Hz,OA_Total_P_12_20Hz,OA_Coh_0_1Hz,OA_Coh_1_3Hz,OA_Coh_3_7Hz,OA_Coh_7_12Hz,OA_Coh_12_20Hz,OA_F_alvo_mean,OF_Total_mean_raw,OF_Total_RMSE_raw,OF_Total_slope,OF_Total_r,OF_Total_p,OF_Total_P_0_1Hz,OF_Total_P_1_3Hz,OF_Total_P_3_7Hz,OF_Total_P_7_12Hz,OF_Total_P_12_20Hz,OF_Coh_0_1Hz,OF_Coh_1_3Hz,OF_Coh_3_7Hz,OF_Coh_7_12Hz,OF_Coh_12_20Hz,OF_F_alvo_mean
13,tDCS,POS,70.24584537,1.470148424,0.172613656,0.533849323,0.745715963,0.410787742,0.016508502,0.004183255,0.002202148,0.749169061,0.742492648,0.323316975,0.24381136,0.18885836,70.8,67.17222733,4.418185047,-0.031953705,-0.100282011,3.42E-05,1.374810069,0.106420044,0.022325052,0.00288092,0.002348341,0.577224545,0.17947056,0.254301198,0.225586146,0.200167444,70.8
14,tDCS,POS,67.34938024,1.890095767,-0.009211585,-0.02482303,0.564248125,0.308764167,0.035234876,0.00614454,0.002572844,0.413771136,0.53512201,0.420345053,0.3450991,0.247513837,67.8,66.484138,1.737581069,-0.097386085,-0.491532068,3.68E-104,1.0500544,0.039667673,0.016252999,0.007397828,0.002829813,0.280026195,0.460393952,0.287648119,0.257609322,0.231558857,67.8
15,tDCS,POS,31.72159478,1.64102435,0.170031606,0.461169714,1.092774464,0.791620052,0.066063967,0.002531854,0.002329202,0.952950904,0.86631803,0.632433464,0.295009818,0.213454691,31.5,31.54904973,0.865456815,0.092161684,0.470013669,3.28E-94,0.604394272,0.147894449,0.023269258,0.002439907,0.001796232,0.726245299,0.719821211,0.39380767,0.261228979,0.280671063,31.5
16,tDCS,POS,46.57385474,1.095055279,4.52E-05,0.000212338,0.107647387,0.034809087,0.007608106,0.004530982,0.002835928,0.695919749,0.645508915,0.363420863,0.327803067,0.218401341,46.8,45.70600056,1.439386868,-0.111286149,-0.604229808,8.07E-170,1.165650666,0.021262835,0.006064367,0.004063211,0.002138475,0.292821604,0.306057167,0.25992175,0.142649606,0.194672532,46.8
17,tDCS,POS,31.68914331,1.135256971,-0.289956709,-0.791440456,0.548734006,0.119412775,0.006536184,0.001566653,0.001540661,0.653546411,0.411901683,0.269119472,0.20845785,0.239560034,31.8,30.74499462,1.555458417,-0.050241969,-0.214308448,4.02E-19,1.521626365,0.064400175,0.011436914,0.001926147,0.002123109,0.497176747,0.4762926,0.301545233,0.165000394,0.198708039,31.8
18,tDCS,POS,39.83555712,0.906348453,0.003132818,0.018689081,0.198510825,0.043006562,0.004642479,0.001561814,0.001815358,0.730699768,0.592335823,0.316391852,0.158424282,0.180456645,40.2,38.43392649,2.933787146,-0.299611323,-0.869442064,0,0.574089242,0.122187791,0.007849668,0.002477705,0.00215819,0.378114255,0.363344496,0.177004086,0.21777696,0.155985853,40.2
19,tDCS,POS,42.11792403,1.16441929,0.201215137,0.648934679,0.673169943,0.039015969,0.004398057,0.001986729,0.001562904,0.466804379,0.766015145,0.311697091,0.290660128,0.208928428,42,43.57386103,1.981180977,-0.040295846,-0.426630941,3.41E-76,0.110603738,0.019495012,0.008629821,0.004730105,0.001913134,0.255395155,0.376795637,0.160284993,0.296316869,0.203521634,42
20,tDCS,POS,72.49704017,2.488388726,0.066662814,0.182095255,0.53767481,0.17974572,0.032985183,0.007604134,0.002566625,0.600386745,0.418516338,0.234570012,0.221914357,0.248704096,71.1,69.45635094,4.272385362,-0.681046303,-0.656511318,2.71E-210,5.969761494,0.116718635,0.058704567,0.016312834,0.004441498,0.4069774,0.222496192,0.160477417,0.171295869,0.187905909,71.1
21,tDCS,POS,40.66634576,0.917170985,0.199435287,0.77949671,0.448420058,0.115722549,0.006269261,0.008494914,0.002351946,0.542602029,0.506497187,0.170978307,0.210052862,0.192702038,41.1,42.13350332,3.180292678,0.132125604,0.420847459,5.54E-74,1.499310441,0.114019648,0.010476342,0.009400243,0.002427365,0.622054369,0.368821901,0.20093607,0.262284741,0.237578696,41.1
22,tDCS,POS,35.2603062,1.66573332,0.094492868,0.348198909,0.558847547,0.2536748,0.012230893,0.003749285,0.002062168,0.670651313,0.399658549,0.279847217,0.237747208,0.201873752,34.2,35.74853314,1.917018722,0.10888866,0.647955366,4.03E-203,0.379981622,0.033280635,0.009677258,0.004397702,0.002043672,0.48125931,0.357879765,0.140031042,0.184659914,0.179522347,34.2
23,tDCS,POS,53.12199935,7.508279114,-0.235343519,-0.373525987,6.555106237,0.210097925,0.015102841,0.006321843,0.002550565,0.842369623,0.626325255,0.323270871,0.351575679,0.216910652,47.4,49.07732898,2.045466488,0.099320786,0.377954855,6.91E-59,0.789174806,0.039969597,0.009301651,0.001973974,0.002025645,0.508281262,0.506038289,0.269810279,0.159817021,0.156107279,47.4
24,tDCS,POS,47.18951397,0.923827307,-0.148049388,-0.683789983,0.383114864,0.200929368,0.020879008,0.007081057,0.003125195,0.457149845,0.455055805,0.513714279,0.390076061,0.259470286,47.7,48.33587391,1.124768548,0.068913733,0.363157236,3.53E-54,0.993207144,0.024267208,0.006901188,0.002984658,0.001595935,0.433086799,0.401685686,0.208731903,0.254820208,0.201524219,47.7
13,tDCS,PRE,70.12077946,1.640205229,-0.373455788,-0.78568744,0.75763235,0.155478068,0.013394595,0.002464093,0.002447456,0.597837641,0.589377217,0.408148332,0.180896404,0.221421037,70.8,64.05782772,7.676118494,-0.216247415,-0.512125888,2.26E-114,3.442742651,0.063008541,0.02147604,0.002222669,0.003100303,0.331268233,0.480265656,0.191287313,0.267197895,0.214314093,70.8
14,tDCS,PRE,65.88746005,4.375991877,-0.224047016,-0.305559533,3.950826146,0.704404894,0.054236172,0.010582082,0.003111524,0.522589413,0.45383567,0.321799753,0.29876593,0.183498819,67.8,63.32387347,5.058586596,-0.262923523,-0.816429791,0,1.298715839,0.03652196,0.012706255,0.007951455,0.003110289,0.360979341,0.385467042,0.284869683,0.209020633,0.214733992,67.8
15,tDCS,PRE,31.97172448,1.609434946,-0.153078063,-0.444682431,0.797212598,0.483660341,0.022706083,0.002600178,0.002023789,0.730581422,0.704254542,0.675166052,0.310468186,0.179576968,31.5,29.07498528,2.940633975,-0.155728746,-0.540418517,1.35E-129,1.946929305,0.056010845,0.007556314,0.00215673,0.002430178,0.727046834,0.397805553,0.221909917,0.180058799,0.216107849,31.5
16,tDCS,PRE,46.23839728,2.949435538,-0.747307209,-0.778282903,7.29020869,0.089273967,0.01250435,0.004818492,0.002032099,0.820229122,0.865042342,0.56886789,0.31907378,0.18452057,46.8,44.42610792,2.613105723,0.064565929,0.274897128,7.16E-31,1.392823472,0.03485911,0.009306331,0.00351209,0.001444961,0.670550656,0.444858946,0.225945488,0.193065039,0.256933904,46.8
17,tDCS,PRE,31.61871752,1.212453904,-0.008606694,-0.037195715,0.211199953,0.155354381,0.008815324,0.004866844,0.003262771,0.620306658,0.562703929,0.239513421,0.308050196,0.268538471,31.8,29.73104712,2.402247058,-0.019069607,-0.125485308,2.08E-07,0.751436226,0.019225834,0.007411707,0.002539294,0.002582756,0.60367989,0.357201852,0.233812266,0.246034543,0.266485912,31.8
18,tDCS,PRE,39.01797915,2.659687036,-0.356129587,-0.624777139,2.627634529,0.579862551,0.018700409,0.002255819,0.002539888,0.660089926,0.469492152,0.346692743,0.245506522,0.221287254,40.2,36.23196423,4.815508238,-0.047525103,-0.314871937,1.84E-40,0.770764267,0.034404914,0.003268056,0.001605682,0.001434886,0.519379754,0.432338075,0.175884499,0.203498421,0.208551821,40.2
19,tDCS,PRE,42.00014879,0.721412868,0.088522598,0.562426463,0.126095326,0.0161207,0.004355398,0.00253024,0.002204153,0.364882301,0.441400414,0.294997299,0.206322665,0.197907367,42,43.93361381,2.063492434,-0.033640657,-0.22652324,3.11E-21,0.187784608,0.018523749,0.005118389,0.003631132,0.002268574,0.343626021,0.429821954,0.303224844,0.225813694,0.180100093,42
20,tDCS,PRE,71.35145039,1.400363542,-0.510264506,-0.876961525,2.325488793,0.366425618,0.052385404,0.009681519,0.005166991,0.436421612,0.468389594,0.330450741,0.172026102,0.187796863,71.1,68.4541058,3.814626814,-0.158126277,-0.278702382,1.02E-31,4.862739819,0.078300806,0.023511656,0.006433868,0.003442971,0.244210495,0.306461247,0.264751166,0.235919539,0.193443514,71.1
21,tDCS,PRE,40.27382828,1.294379057,-0.276224218,-0.804416321,1.01236784,0.206627343,0.02304314,0.013927778,0.002955006,0.526311765,0.494361018,0.449237434,0.30283183,0.173688392,41.1,36.67781125,4.927971428,-0.083476791,-0.476763071,2.96E-97,0.421476717,0.031799593,0.008952938,0.004984056,0.002377069,0.409429157,0.330610063,0.236871455,0.221780455,0.210022594,41.1
22,tDCS,PRE,34.34738225,1.643252784,-0.168834498,-0.46792594,1.062068427,0.035108571,0.005862583,0.004409103,0.002156941,0.769888763,0.384520222,0.344710015,0.346651384,0.233519202,34.2,32.90738418,1.643826165,0.012169786,0.063632131,0.00866177,0.798078587,0.016801774,0.008048255,0.002976011,0.001772859,0.515031661,0.192205649,0.208965908,0.220477813,0.210459528,34.2
23,tDCS,PRE,49.38990089,2.876411825,-0.376972612,-0.66443401,1.76466033,0.052508824,0.011205613,0.003017102,0.00251901,0.674624435,0.408940327,0.339271677,0.21789396,0.258415576,47.4,47.12093181,2.383372241,-0.370275735,-0.833913664,0,3.611563186,0.047690962,0.008227056,0.003994755,0.002541607,0.37434465,0.294677113,0.225515218,0.250807298,0.256060454,47.4
24,tDCS,PRE,47.27139311,1.014440885,-0.223421108,-0.763467732,0.643189935,0.13526315,0.014327809,0.003793568,0.001815804,0.649276096,0.376673739,0.361057265,0.231216874,0.250422864,47.7,48.49279561,1.217990266,0.23527955,0.893664817,0,0.978180641,0.017106106,0.007167912,0.002937773,0.002159438,0.147851191,0.254671545,0.217546431,0.209398933,0.170822982,47.7
